,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,k_cluster
26375,26375.0,White Noise Baby Sleep,0.785,0.05966666666666666,252126.66666666663,0.1607833333333333,0.7591666666666667,0.16333333333333333,-25.73333333333333,0.109,27.236666666666665,3.3333333333333337e-06,74.83333333333333,1,1,6,0
9964,9964.0,High Altitude Samples,0.6755,0.02795,165861.0,0.16974,1.0,0.1115,-31.6365,0.052000000000000005,29.1135,0.0106,74.5,10,1,4,0
7359,7359.0,Erik Eriksson,0.83,0.0,84226.33333333331,0.002696666666666667,1.0,0.111,-28.170666666666666,0.0,0.0,0.0,74.0,8,1,3,0
16740,16740.0,Molchat Doma,0.6990000000000001,0.484,141395.0,0.7490000000000001,0.861,0.105,-4.176,0.0687,160.006,0.468,74.0,1,1,2,0
27201,27201.0,littleONES,0.961,0.417,331303.0,0.0787,0.999,0.596,-26.446,0.188,184.05900000000003,0.00532,74.0,9,1,2,0
3176,3176.0,Brain Timbre,0.007390000000000002,0.116,152811.0,0.8240000000000001,0.937,0.7859999999999999,-20.194000000000006,0.0697,71.95,0.0358,72.0,5,1,2,0
25862,25862.0,Vantage,0.0608,0.8370000000000001,246167.0,0.698,0.85,0.0926,-7.215,0.0511,124.136,0.397,72.0,7,1,2,0
19576,19576.0,Rain Recordings,0.5415,0.17054999999999998,170002.5,0.9955,0.779,0.77,-17.9195,0.0499,168.329,0.011255,71.0,3,1,4,0
27028,27028.0,Zenibly,0.455,0.0,150000.0,0.0924,0.408,0.111,-26.764,0.0,0.0,0.0,71.0,1,1,2,0
17286,17286.0,Nature & Sounds Backgrounds,0.139,0.0,87874.0,0.955,0.997,0.425,-20.356,0.0,0.0,0.0,71.0,0,1,2,0
17279,17279.0,Natural Sounds,0.139,0.0,87874.0,0.955,0.997,0.425,-20.356,0.0,0.0,0.0,71.0,0,1,1,0
26276,26276.0,Water Sound Natural White Noise,0.8644999999999999,0.0635,79936.0,0.4865,0.595,0.1405,-23.3935,0.02545,41.07199999999999,5e-06,71.0,1,1,4,0
21491,21491.0,Shaman,0.003980333333333333,0.1466666666666667,173500.0,0.5946666666666667,0.7690000000000001,0.2736666666666667,-20.027666666666665,0.0655,116.56866666666667,0.047593333333333335,70.66666666666667,1,1,6,0
24993,24993.0,Thunderstorm Sound Bank,0.0013853333333333333,0.158,171169.66666666663,0.3993333333333333,0.8373333333333334,0.446,-24.320666666666664,0.06496666666666667,97.088,0.031133333333333336,70.66666666666667,1,1,6,0
26313,26313.0,Weather Factory,0.016903333333333333,0.1456666666666667,167900.0,0.6829999999999999,0.8733333333333334,0.4383333333333333,-24.42100000000001,0.09513333333333332,98.66866666666664,0.02443333333333333,70.66666666666667,5,1,6,0
6351,6351.0,Donna Lewis,0.627,0.7440000000000001,239960.0,0.453,0.421,0.0898,-11.977,0.0348,103.773,0.122,70.0,5,1,2,0
1522,1522.0,Arlette Leduc,0.993,0.19,178375.0,0.015535,0.8935000000000001,0.0954,-31.8785,0.04065,96.162,0.03885,70.0,2,1,4,0
24389,24389.0,The Outdoor Library,0.040310000000000006,0.163,152456.5,0.194608,0.968,0.6689999999999999,-20.9185,0.08245000000000001,89.70549999999999,0.014259999999999997,70.0,2,1,4,0
10487,10487.0,Irizarry Barraza,0.99,0.17600000000000002,212000.0,0.0327,0.905,0.109,-31.7,0.0555,69.567,0.0545,70.0,7,1,2,0
11900,11900.0,John Ocean,0.954,0.127,207373.0,0.136,0.932,0.108,-19.946,0.0445,81.163,0.0368,70.0,8,1,2,0
2405,2405.0,Beth McLaughlin,0.977,0.6559999999999999,152000.0,0.175,0.899,0.0912,-28.548,0.217,78.843,0.452,70.0,0,1,2,0
7608,7608.0,Factorial FX,0.1805,0.139,178694.5,0.2365,0.951,0.1855,-26.3405,0.0551,108.12799999999999,0.0335,70.0,10,1,4,0
8550,8550.0,Gemma Casimaty,0.944,0.187,164125.0,0.0911,0.921,0.104,-28.802,0.0489,66.282,0.359,70.0,0,1,2,0
13041,13041.0,Kid Francescoli,0.28800000000000003,0.662,390639.0,0.657,0.856,0.102,-10.002,0.0345,117.986,0.0584,70.0,7,1,2,0
9957,9957.0,Hi Freq Samples,0.139,0.166,163177.0,0.769,0.983,0.606,-21.081,0.0642,116.759,1e-05,70.0,7,1,2,0
5827,5827.0,Decidic FX,0.15350000000000005,0.0995,228813.0,0.9845,0.992,0.6405000000000001,-19.759,0.07255,77.515,0.00136,69.5,10,1,4,0
